Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,DES_CLAV,RANGO_MA,MUESTRA,ESTADO,LONG_,LAT,TIPO_ROCA,ROCA,METODO,MINERAL,EDAD_MA,ERROR,TIPO_EDAD,HEREDADOS,REFERENCIA,UNIDAD,LOC_TIPO,OBSERVA,PDF,CARTA50,CARTA250,TABLACRONO
,,,,,,"-1","0","-1",,,Paleógeno-Oligoceno,23.03 - 33.9,H231,Oaxaca,-96.316674,15.833335,Plutónica,Granito,Rb-Sr,Muscovita-Roca total,"26.2",0.5,Edad de enfriamiento,,"Solís-Pichardo (en Morán-Zenteno et al., 2000)",,,,,SANTA MARIA HUATULCO OAXACA D14-B19,PUERTO ESCONDIDO D14-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Mesoproterozoico,1000 - 1600,Mu10/E30,Oaxaca,-97.096118,15.845835,Metamórfica,Migmatita,U-Pb,Circón,"1023.6",1.1,Edad de cristalización,,"Herrmann et al., 1994",,,,,PUERTO ESCONDIDO D14-B16,PUERTO ESCONDIDO D14-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cuaternario-Pleistoceno,0.0117 - 2.58,Co-45,Jalisco,-103.594847,19.592304,Volcánica,Andesita,K-Ar,Roca total,"0.14",0.04,,,"Robin et al., 1984",W de la Faja Volcánica Trans-Mexicana,Nevado de Colima y Volcán de Colima,,,CD. GUZMAN. E13-B25,COLIMA E13-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Eoceno,33.9 - 56,MS 27,Jalisco,-103.063333,19.463333,Plutónica,Cuarzomonzodiorita,Rb-Sr,Biotita-Roca total,"55.2",1.1,Formación de la roca,,"Schaaf 1990 (en Schaaf et al., 1995)",Batolito Jilotlán,Jilotlán,,,TECALITLAN E13-B36,COLIMA E13-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Cenomaniano,93.9 - 100.5,PLMCM-001,Sinaloa,-106.412187,23.320222,Metamórfica,Esquisto,Ar-Ar,Muscovita,"93.95",0.36,Edad de deformación,,"Cuellar et al., 2012",,Mazatlán,Edad de meseta,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,MARMOL F13-A35,MAZATLAN F13-1,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Paleoceno,56 - 66,KC-1,Sinaloa,-106.129227,23.231272,Plutónica,Granodiorita,K-Ar,Biotita,"57.3",0.6,Edad de enfriamiento,,"Henry et al., 2003",,13 Km al E de Villa Unión,Coordenadas estimadas,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,VILLA UNION F13-A46,MAZATLAN F13-1,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Paleoceno,56 - 66,HS-23,Sinaloa,-106.190674,23.538572,Plutónica,Granodiorita,K-Ar,Biotita,"62.1",0.7,Edad de enfriamiento,,"Henry et al., 2003",,"Río Presidio, 5 Km al este de San Marcos",Coordenadas estimadas,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,LA NORIA F13-A26,MAZATLAN F13-1,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Coniaciano,86.3 - 89.8,HS-37,Sinaloa,-106.859624,23.813637,Plutónica,Cuarzodiorita foliada,K-Ar,Hornblenda,"89.1",2,Edad de enfriamiento,,"Henry et al., 2003",,11 Km al S de La Cruz,Coordenadas estimadas,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,LA CRUZ F13-A14,MAZATLAN F13-1,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Cenomaniano,93.9 - 100.5,HM-4,Sinaloa,-106.272685,23.387404,Plutónica,Tonalita,K-Ar,Biotita,"98.3",1.1,Edad de enfriamiento,,"Henry et al., 2003",,San Javier,Coordenadas estimadas,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,CONCORDIA F13-A36,MAZATLAN F13-1,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Triásico Medio,237 - 247.2,T11-10,Querétaro de Arteaga,-99.77286056,20.77050222,Sedimentaria,Arenisca,U-Pb,Zircones detríticos,"243.7",1.2,Edad máxima de depósito,"1520, 1200, 1050, 900, 600, 530, 460, 281, 254","Ortega-Flores et al., 2013",Fm. Chilar,,Media calculada con los 3 zircones más jóvenes,,SAN PABLO TOLIMAN F14-C57,PACHUCA F14-11,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Inferior-Albiano,100.5 - 113,JLT-12,Jalisco,-103.171472,19.434778,Plutónica,Gabro,U-Pb,Circón,"112.84",1.2,Edad de cristalización,,Villanueva-Lascurain 2011,Plutón Jilotitlán,Jilotlán,,,TECALITLAN E13-B36,COLIMA E13-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,F,Jalisco,-103.380401,20.740581,Volcánica,Riolita alcalina,K-Ar,ND,"13",1,,,CFE 1986,,Mesa Colorada,,,GUADALAJARA OESTE F13-D65,GUADALAJARA  F13-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,JN223,,-112.360899,29.031854,Volcánica,Basalto,K-Ar,Roca total,"17.67",1.4,Edad de enfriamiento,,"Neuhaus, 1989",,Isla Tiburón,Coordenadas estimadas,,SIN NOMBRE H12-C45,ISLA ANGEL DE LA GUARDA H12-7,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Eoceno,33.9 - 56,SO-15,Sonora,-109.108884,28.467723,Plutónica,Granodiorita,K-Ar,Biotita,"53",0.8,Edad de enfriamiento,,"Roldán-Quintana et al., 2009",Batolito Laramide de Sonora,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,SANTA ROSA H12-D76,TECORIPA H12-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,ND,Jalisco,-104.101512,21.07775,Volcánica,Ignimbrita,K-Ar,ND,"10",0.04,,,"Moore y Carmichael, 1991",,Guadalajara - Arandas,"Río Grande de Santiago, 30 km al Norte de Guadalajara. Metodo estimado",,HOSTOTIPAQUILLO F13-D43,TEPIC F13-8,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Plioceno,2.58 - 5.333,Ll 107,Veracruz de Ignacio de la Llave,-96.76026,19.650647,Volcánica,Basalto alcalino,K-Ar,Roca total,"3.8",0.4,,,"López-lnfanzón, 1990",,Chiconquiaco-Palma Sola,,,JALAPA E14-B27,VERACRUZ E14-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,ND,Puebla,-97.437488,19.646118,Volcánica,Andesita Alsesca,K-Ar,ND,"11",0,,,"Yañez y García, 1982",Faja Volcánica Trans-Mexicana,Los Humeros,Coordenadas estimadas.,,XONACATLAN E14-B25,VERACRUZ E14-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Eoceno,33.9 - 56,COMP-33,Nayarit,-104.894,21.142667,Volcánica,Riolita,Ar-Ar,Plagioclasa,"46.9",0.1,Edad de enfriamiento,,"Frey et al., 2007",,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,COMPOSTELA F13-D41,TEPIC F13-8,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Pérmico-Guadalupiano,259.8 - 272.3,E-201,Veracruz de Ignacio de la Llave,-97.168257,19.746392,Plutónica,Granodiorita,Ar-Ar,Biotita,"268.14",0.24,Edad de enfriamiento,,"Iriondo et al., 2003",,,,,PEROTE E14-B26,VERACRUZ E14-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Campaniano,72.1 - 83.6,ALP-333,Baja California Sur,-109.868286,23.227235,Plutónica,Granodiorita,Rb-Sr,"Roca total, biotita","72.2",1.4,Edad de enfriamiento,,"Pérez-Venzor, 2013",Intrusivo Matancitas,,Edad de isocrona,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,SAN JOSE DEL CABO F12-B44,SAN JOSE DEL CABO F12-2-3-5-6,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cuaternario-Pleistoceno,0.0117 - 2.58,Cal-6,Tlaxcala,-98.582556,19.516861,Volcánica,Dacita,K-Ar,Matriz,"1.1",0.4,,,"García-Tovar et al., 2015",Domo Yehualica,,,,APAN E14-B22,CIUDAD DE MEXICO E14-2,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,RUIZ 34b,Nayarit,-104.801111,22.058889,Volcánica,Lava riolítica,U-Pb,Circón,"18.4",0.3,Edad de cristalización,,"Ferrari et al., 2013",,Camino Estación Ruíz-Mesa del Nayar,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,SAN PEDRO IXCATAN F13-B81,ESCUINAPA F13-5,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Maastrichtiano,66 - 72.1,RS-311,Oaxaca,-95.30055556,17.2219444,Volcánica,Andesita,K-Ar,Roca Total,"67",2,Edad de enfriamiento,,"Ruíz, 1978 (en Murillo-Muñetón, 1994)",Batolito La Mixtequita,Arroyo Lirio,Coordenadas Estimadas,,DONAJI E15-C43,MINATITLÁN E15-7,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Oligoceno,23.03 - 33.9,SVZA-2,Oaxaca,-97.808063,17.889725,Volcánica,Andesita basáltica,K-Ar,Roca total,"29",1,Formación de la roca,,"Galina-Hidalgo, 1996 (en Morán-Zenteno et al., 1999)",Indefinido,Zapotitlán Palmas,,,HUAJUAPAN DE LEON E14-D14,OAXACA E14-9,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Campaniano,72.1 - 83.6,911B,,-106.603301,21.600058,Plutónica,Tonalita,U-Pb,Circón,"80.1",0.31,Edad de cristalización,,"Pompa-Mera et al., 2013",Complejo Papelillo,"Cañon Papelillo, Isla María Madre",,,SIN NOMBRE F13-C25,ISLAS MARIAS F13-4-7,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Campaniano,72.1 - 83.6,BEKL 4D-1,,-109.602,23.828,Plutónica,Monzogranito,U-Pb,Circón,"82.42",0.68,Edad de cristalización,"95, 104","Duque-Trujillo et al., 2015",,,"Edad media ponderada. A -1020 m de profundidad, muestreo con draga.",,,,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Cenomaniano,93.9 - 100.5,NC-1 (10),,-115.248599,28.036856,Metamórfica,Metasedimentaria,FT,Apatito,"98.7",13.1,Edad de enfriamiento,,"Baldwin y Harrison, 1992",,Isla Cedros,Coordenadas estimadas,,SIN NOMBRE H11-D86,ISLA CEDROS H11-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Inferior-Albiano,100.5 - 113,"585178",,-115.175674,28.163541,Metamórfica,Esquisto azul grano grueso,Ar-Ar,Mica blanca,102-116,0,Perdida de Ar,,"Baldwin y Harrison, 1989",,Isla Cedros,,,SIN NOMBRE H11-D86,ISLA CEDROS H11-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Oligoceno,23.03 - 33.9,12-13-3,Chihuahua,-108.69108,28.2381,Volcánica,Lava basáltica-andesítica,K-Ar,Plagioclasa,"25.5",1.4,Edad de enfriamiento,,"McDowell, 2007",Sierra Madre Occidental,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaChihuahua.pdf,SIERRA OBSCURA H12-D87,TECORIPA H12-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,BC0541,,-113.076111,28.956556,Volcánica,Lava calcoalcalina,K-Ar,Roca total,"15.9",0.58,Edad de enfriamiento,,"Pallares et al., 2008",Campo Volcánico San Borja,Entre S. El Principio y Agua de Higuera,,,PUNTA LAS ANIMAS H12-C53,ISLA SAN ESTEBAN H12-10,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cuaternario-Pleistoceno,0.0117 - 2.58,ND,Nayarit,-104.72043,21.170557,Volcánica,Riolita (obsidiana),K-Ar,ND,"0.1",0.01,Edad de enfriamiento,,"Ferrari et al., 2000",,Cerro Los Ocotes,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,COMPOSTELA F13-D41,TEPIC F13-8,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Maastrichtiano,66 - 72.1,"1076",Nayarit,-105.062938,21.413044,Plutónica,Tonalita,K-Ar,Hornblenda,"67",1.8,Edad de enfriamiento,,"Gastil et al., 1976",,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,JALCOCOTAN F13-C39,TEPIC F13-8,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,Oro 1,Nayarit,-104.502,21.464,Plutónica,Monzogranito,Ar-Ar,Biotita,"19.07",0.16,Edad de enfriamiento,,"Duque-Trujillo et al., 2015",,,Edad de meseta,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,SANTA MARIA DEL ORO F13-D32,TEPIC F13-8,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Carbonífero-Mississippiano,323.2 - 358.9,ACA 125,Puebla,-98.250285,18.193891,Metamórfica,Eclogita,Ar-Ar,Fengita,"336",6,"Evento tectonotermal 
(enfríamiento)",,"Vega-Granillo et al., 2007",Suite Xayacatlán,Piaxtla,,,ACATLAN DE OSORIO E14-B83,CUERNAVACA E14-5,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Paleoceno,56 - 66,"11",Sonora,-109.092307,28.865061,Plutónica,Cuarzomonzonita,K-Ar,Hornblenda,"56.07",2.8,Edad de enfriamiento,,"Pubellier, 1987",,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaSonBC.pdf,ARIVECHI H12-D56,TECORIPA H12-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cuaternario-Pleistoceno,0.0117 - 2.58,MN-20,Chihuahua,-104.26666667,27.95,Metamórfica,Granulita,U-Pb,Zircón,"1.3",0.3,Edad de metamorfismo (facies de granulita),,"Rudnick y Cameron, 1991",,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaChihuahua.pdf,HONORATO DE ABAJO G13-B13,CIUDAD CAMARGO G13-2,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Inferior-Albiano,100.5 - 113,"3223",Jalisco,-103.523825,20.632346,Volcánica,Riolita,K-Ar,Vidrio,"108.4",9.7,,,"Mahood y Drake, 1982",Caldera La Primavera,,Coordenadas estimadas.,,GUADALAJARA OESTE F13-D65,GUADALAJARA  F13-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Santoniano,83.6 - 86.3,PV-14.,Jalisco,-105.30656639,20.1182047,Plutónica,Granitoide,U-Pb,Zircón,"83.8",1.3,Edad de cristalización,,"Valencia et al., 2013",,Puerto Vallarta,,,EL TULE F13-C89,PUERTO VALLARTA F13-11,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Oligoceno,23.03 - 33.9,SN-8,San Luis Potosí,-100.283506,22.667034,Plutónica,Granito,K-Ar,Feldespato K,"30.7",0.4,Edad de enfriamiento,,"Tuta et al., 1988",,Guadalcazar,Coordenadas estimadas,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaNLTampsSLPHgo.pdf,BUENAVISTA F14-A66,SAN LUIS POTOSI F14-4,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,JNA-1,,-112.360899,29.031854,Volcánica,Andesita de Hbl,K-Ar,Hornblenda,"20.5",0.5,Edad de enfriamiento,,"Neuhaus, 1989",,Isla Tiburón,Coordenadas estimadas,,SIN NOMBRE H12-C45,ISLA ANGEL DE LA GUARDA H12-7,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Maastrichtiano,66 - 72.1,CFE-56,Jalisco,-105.0833,20.7167,Plutónica,Cuarzodiorita,K-Ar,Biotita,"67.6",3.5,Formación de la roca,,"Zimmermann et al., 1988 (en Cerca-Martínez, 2004)",Batolito Puerto Vallarta,Puerto Vallarta,,,PUERTO VALLARTA F13-C69,PUERTO VALLARTA F13-11,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,Ped 12,Jalisco,-103.120396,20.800579,Volcánica,Basalto,K-Ar,ND,"8",0.1,,,"Nieto et al., 1981",,Guadalajara - Arandas,,,CUQUIO F13-D56,GUADALAJARA  F13-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,DCH 2,Jalisco,-102.230377,20.580591,Volcánica,Basalto,K-Ar,ND,"10.8",0.9,,,"Nieto et al., 1981",,Guadalajara - Arandas,,,JESUS  MARIA F13-D69,GUADALAJARA  F13-12,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Jurásico Medio-Bajociano,168.3 - 170.3,Trincheras,Nuevo León,-99.44145,24.950572,Plutonica,Granito,Ar-Ar,Feldespato K,"169",26.73,Edad de cristalización,,"Villagómez et. al., 2019",Formacion Olivido,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaNLTampsSLPHgo.pdf,LINARES G14-C58,LINARES G14-11,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Eoceno,33.9 - 56,ND,Guanajuato,-101.250358,21.250561,Volcánica,Ignimbrita,K-Ar,Roca total,"37",3,,,"Gross, 1975",,La Bufa,,,GUANAGUATO F14-C43,GUANAJUATO F14-7,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,"1337",Guanajuato,-101.020352,20.680589,Volcánica,Andesita,K-Ar,Roca total,"9.44",0.1,,,"Hasenaka et al., 1994",,La Ordeña,,,SALAMANCA F14-C63,QUERETARO F14-10,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Plioceno,2.58 - 5.333,A555,Guanajuato,-100.98035,20.480599,Volcánica,Basalto,K-Ar,Roca total,"2.78",0.7,,,"Hasenaka y Carmichael, 1985",,Santa Teresa,,,CORTAZAR F14-C74,QUERETARO F14-10,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Pérmico-Cisuraliano,272.3 - 298.9,ACA-216.,Puebla,-97.8832472,18.0417261,Metamórfica,Esquisto Sll-Bt,U-Pb,Zircones detríticos,"275",0,Edad máxima de depósito,"1171, 943, 744, 358","Talavera-Mendoza et al., 2005",Fm. Chazumba,,,,PETLALCINGO E14-B84,ORIZABA E14-6,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
